epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,19.2723,1.71555,3.48626,1.6904,0.00341,0.81158,0.01711,0.00628,1.07429,2.67948,1.18796,6e-05,6e-05,6e-05
2,29.5625,1.79156,3.50665,1.74293,0.00344,0.81895,0.01779,0.00668,1.07193,2.66862,1.17654,0.00013538,0.00013538,0.00013538
3,40.5401,1.72262,3.45392,1.67781,0.0039,0.92842,0.13248,0.05671,1.20131,2.63144,1.11272,0.00020548,0.00020548,0.00020548
4,51.1374,1.33396,2.52139,1.36805,0.00397,0.94421,0.35545,0.17264,1.04305,2.4722,0.98544,0.0002703,0.0002703,0.0002703
5,61.7123,1.22642,2.13572,1.31424,0.00397,0.94421,0.34991,0.15686,1.11469,2.52282,1.03896,0.00032984,0.00032984,0.00032984
6,72.2095,1.17843,1.84733,1.25908,0.00407,0.96842,0.3422,0.16754,1.07579,2.45176,1.00214,0.0003841,0.0003841,0.0003841
7,82.7675,1.21411,1.80838,1.26796,0.45099,0.44,0.38255,0.18284,1.07652,2.42124,1.00787,0.00043308,0.00043308,0.00043308
8,93.1001,1.12303,1.71895,1.21861,0.94684,0.05625,0.46519,0.22478,1.084,2.3601,1.04075,0.00047678,0.00047678,0.00047678
9,103.405,1.13549,1.63068,1.21978,0.97086,0.1052,0.55249,0.28353,1.02485,2.31068,1.03304,0.0005152,0.0005152,0.0005152
10,113.778,1.08148,1.52797,1.17763,0.82939,0.17399,0.44795,0.2108,1.15302,2.32989,1.12374,0.00054834,0.00054834,0.00054834
11,124.085,1.12541,1.53269,1.21771,0.78974,0.48235,0.61791,0.34318,1.01897,2.05595,1.04099,0.0005762,0.0005762,0.0005762
12,134.342,1.0719,1.42836,1.16953,0.75667,0.55318,0.62909,0.36784,0.97041,1.92496,1.02336,0.00059878,0.00059878,0.00059878
13,144.552,1.05815,1.39686,1.17263,0.81649,0.62632,0.68947,0.43779,0.86904,1.80105,0.94386,0.00061608,0.00061608,0.00061608
14,154.766,1.08537,1.41706,1.20834,0.83969,0.60651,0.70898,0.44306,0.86056,1.82756,0.93835,0.0006281,0.0006281,0.0006281
15,164.961,1.06609,1.34819,1.17926,0.86148,0.62842,0.72573,0.45817,0.89514,1.79167,0.94482,0.00063484,0.00063484,0.00063484
16,175.325,1.07791,1.34755,1.17998,0.84214,0.60087,0.702,0.45895,0.84022,1.77028,0.91602,0.0006363,0.0006363,0.0006363
17,185.621,1.0482,1.28832,1.16262,0.88697,0.59473,0.73315,0.45185,0.89463,1.79127,0.94923,0.00063248,0.00063248,0.00063248
18,195.986,1.05356,1.23699,1.16894,0.82567,0.64526,0.75549,0.47498,0.86007,1.63655,0.92267,0.00062338,0.00062338,0.00062338
19,206.251,0.99406,1.21058,1.12241,0.79652,0.59746,0.72371,0.45652,0.88106,1.66407,0.93337,0.000609,0.000609,0.000609
20,216.401,0.98699,1.20551,1.14174,0.81162,0.63263,0.74039,0.46173,0.89585,1.47771,0.95361,0.00058934,0.00058934,0.00058934
21,235.363,0.97834,1.29537,1.11967,0.85731,0.59263,0.68615,0.44146,0.87539,1.72102,0.96521,0.0005644,0.0005644,0.0005644
22,247.326,0.94396,1.27064,1.09755,0.82242,0.63895,0.76942,0.50864,0.84852,1.33832,0.91464,0.00053418,0.00053418,0.00053418
23,258.819,0.94214,1.20033,1.09977,0.80194,0.61789,0.76094,0.49592,0.86677,1.34139,0.93215,0.00049868,0.00049868,0.00049868
24,269.155,0.90428,1.1458,1.04923,0.75235,0.70526,0.77228,0.51756,0.82984,1.21219,0.9057,0.0004579,0.0004579,0.0004579
25,279.288,0.85921,1.10462,1.04524,0.67283,0.74036,0.75827,0.50092,0.84216,1.17496,0.91749,0.00041184,0.00041184,0.00041184
26,289.36,0.82379,1.04738,1.028,0.74073,0.71263,0.70938,0.4665,0.83422,1.16595,0.9165,0.00035,0.00035,0.00035
27,299.365,0.86932,1.05286,1.05766,0.74661,0.73579,0.73395,0.49502,0.82426,1.10031,0.90588,0.000284,0.000284,0.000284
28,309.448,0.85709,1.01698,1.03297,0.72731,0.75579,0.76132,0.52173,0.80822,1.03476,0.90214,0.000218,0.000218,0.000218
29,319.455,0.82058,0.9606,1.0238,0.78388,0.78105,0.79011,0.53627,0.78942,0.9853,0.89483,0.000152,0.000152,0.000152
30,329.516,0.79376,0.93264,1.00222,0.82167,0.78842,0.82952,0.57648,0.77133,0.91718,0.87093,8.6e-05,8.6e-05,8.6e-05
